  0.20000000000000E+00  4.43184841193803E-02
  0.30000000000000E+00  5.39909665131879E-01
  0.40000000000000E+00  2.41970724519143E+00
  0.50000000000000E+00  3.98942280401433E+00
  0.10000000000000E+00  1.33830225764886E-03
  0.12000000000000E+00  2.91946925791461E-03
  0.14000000000000E+00  6.11901930113775E-03
  0.16000000000000E+00  1.23221916847303E-02
  0.18000000000000E+00  2.38408820146486E-02
  0.22000000000000E+00  7.91545158298001E-02
  0.24000000000000E+00  1.35829692336855E-01
  0.26000000000000E+00  2.23945302948430E-01
  0.28000000000000E+00  3.54745928462313E-01
  0.32000000000000E+00  7.89501583008939E-01
  0.34000000000000E+00  1.10920834679455E+00
  0.36000000000000E+00  1.49727465635745E+00
  0.38000000000000E+00  1.94186054983213E+00
  0.42000000000000E+00  2.89691552761483E+00
  0.44000000000000E+00  3.33224602891800E+00
  0.46000000000000E+00  3.68270140303323E+00
  0.48000000000000E+00  3.91042693975456E+00
